,Player,Player City,Country,State,Team City,PER,Player US Full City
265,Keljin Blevins,Hot Springs,US,AR,Portland,4.8,"Hot Springs, AR"
266,Ben McLemore,St. Louis,US,MO,Portland,11.7,"St. Louis, MO"
267,Justise Winslow,Houston,US,TX,Portland,13.1,"Houston, TX"
268,Donte DiVincenzo,Newark,US,DE,Sacramento,11.3,"Newark, DE"
269,Terence Davis,Southaven,US,MS,Sacramento,14.6,"Southaven, MS"
270,De'Aaron Fox,New Orleans,US,LA,Sacramento,17.4,"New Orleans, LA"
271,Chimezie Metu,Los Angeles,US,CA,Sacramento,13.4,"Los Angeles, CA"
272,Maurice Harkless,Queens,US,NY,Sacramento,7.7,"Queens, NY"
273,Justin Holiday,Mission Hills,US,CA,Sacramento,9.5,"Mission Hills, CA"
274,Domantas Sabonis,Portland,US,OR,Sacramento,21.9,"Portland, OR"
275,Davion Mitchell,Hinesville,US,GA,Sacramento,10.8,"Hinesville, GA"
276,Richaun Holmes,Lockport,US,IL,Sacramento,17.8,"Lockport, IL"
277,Jeremy Lamb,Henrico,US,VA,Sacramento,13.3,"Henrico, VA"
278,Damian Jones,Baton Rouge,US,LA,Sacramento,18.3,"Baton Rouge, LA"
279,Harrison Barnes,Ames,US,IA,Sacramento,15.7,"Ames, IA"
280,Josh Jackson,San Diego,US,CA,Sacramento,9.5,"San Diego, CA"
281,Lonnie Walker IV,Reading,US,PA,San Antonio,12.3,"Reading, PA"
282,Keldon Johnson,Chesterfield,US,VA,San Antonio,15.2,"Chesterfield, VA"
283,Dejounte Murray,Seattle,US,WA,San Antonio,22.3,"Seattle, WA"
284,Josh Richardson,Edmond,US,OK,San Antonio,12.8,"Edmond, OK"
285,Joe Wieskamp,Muscatine,US,IA,San Antonio,7.1,"Muscatine, IA"
286,Doug McDermott,Grand Forks,US,ND,San Antonio,11.4,"Grand Forks, ND"
287,Devontae Cacok,Chicago,US,IL,San Antonio,20.2,"Chicago, IL"
